,Unnamed: 0,mea_ddhr,tem_in,hum_in,tem_coil,tem_out,hum_out,cond,loc,time_period,tem_diff,ran
50516,50516,2019-02-03 16:00,9.05,80.34,5.98,6.21,88.16,1.0,1,2019-02-03 16:00:00,3.0700000000000003,True
50517,50517,2019-02-03 16:10,8.96,79.82,6.05,5.91,87.94,1.0,1,2019-02-03 16:00:00,2.910000000000001,True
50518,50518,2019-02-03 16:20,8.87,78.91,5.94,5.73,87.73,1.0,1,2019-02-03 16:00:00,2.929999999999999,True
50519,50519,2019-02-03 16:30,8.84,78.21,5.9,5.51,87.76,1.0,1,2019-02-03 16:00:00,2.9399999999999995,True
50520,50520,2019-02-03 16:40,8.81,77.5,5.86,5.18,87.61,1.0,1,2019-02-03 16:00:00,2.95,True
50521,50521,2019-02-03 16:50,8.66,76.92,5.9,4.96,87.61,0.0,1,2019-02-03 16:00:00,2.76,True
50522,50522,2019-02-03 17:00,8.57,76.34,5.86,4.81,87.91,0.0,1,2019-02-03 17:00:00,2.71,True
50523,50523,2019-02-03 17:10,8.5,75.73,5.86,4.84,88.52,0.0,1,2019-02-03 17:00:00,2.64,True
50524,50524,2019-02-03 17:20,8.44,75.67,5.9,4.84,88.83,0.0,1,2019-02-03 17:00:00,2.539999999999999,True
50525,50525,2019-02-03 17:30,8.29,75.82,5.98,4.75,89.13,0.0,1,2019-02-03 17:00:00,2.3099999999999987,True
50526,50526,2019-02-03 17:40,8.14,75.85,5.83,4.63,89.13,0.0,1,2019-02-03 17:00:00,2.3100000000000005,True
50527,50527,2019-02-03 17:50,8.08,75.79,5.75,4.69,89.41,0.0,1,2019-02-03 17:00:00,2.33,True
50528,50528,2019-02-03 18:00,8.05,75.64,5.83,4.69,89.56,0.0,1,2019-02-03 18:00:00,2.2200000000000006,True
50529,50529,2019-02-03 18:10,8.05,75.55,5.79,4.75,89.65,0.0,1,2019-02-03 18:00:00,2.2600000000000007,True
50530,50530,2019-02-03 18:20,8.08,75.49,5.71,4.72,89.44,0.0,1,2019-02-03 18:00:00,2.37,True
50531,50531,2019-02-03 18:30,7.99,75.27,5.75,4.75,89.26,0.0,1,2019-02-03 18:00:00,2.24,True
50532,50532,2019-02-03 18:40,7.99,75.24,5.75,4.81,89.01,0.0,1,2019-02-03 18:00:00,2.24,True
50535,50535,2019-02-03 19:10,7.99,75.64,5.83,4.81,88.92,0.0,1,2019-02-03 19:00:00,2.16,True
50536,50536,2019-02-03 19:20,7.95,75.31,5.71,4.84,88.83,0.0,1,2019-02-03 19:00:00,2.24,True
50537,50537,2019-02-03 19:30,8.02,75.46,5.75,4.9,88.61,0.0,1,2019-02-03 19:00:00,2.27,True
50538,50538,2019-02-03 19:40,7.89,75.58,5.71,4.93,88.37,0.0,1,2019-02-03 19:00:00,2.18,True
50540,50540,2019-02-03 20:00,7.83,76.04,5.75,5.09,87.76,0.0,1,2019-02-03 20:00:00,2.08,True
50541,50541,2019-02-03 20:10,7.92,76.16,5.67,5.27,87.52,0.0,1,2019-02-03 20:00:00,2.25,True
50542,50542,2019-02-03 20:20,7.95,76.22,5.86,5.24,87.33,0.0,1,2019-02-03 20:00:00,2.09,True
50543,50543,2019-02-03 20:30,7.86,76.34,5.67,5.02,86.54,0.0,1,2019-02-03 20:00:00,2.1900000000000004,True
57011,57011,2019-03-20 18:30,12.84,75.76,10.71,10.55,86.17,0.0,1,2019-03-20 18:00:00,2.129999999999999,True
57013,57013,2019-03-20 18:50,12.84,76.31,10.71,10.58,86.05,0.0,1,2019-03-20 18:00:00,2.129999999999999,True
57014,57014,2019-03-20 19:00,12.75,76.71,10.71,10.52,85.93,0.0,1,2019-03-20 19:00:00,2.039999999999999,True
57015,57015,2019-03-20 19:10,12.78,77.05,10.75,10.34,86.45,0.0,1,2019-03-20 19:00:00,2.03,True
57016,57016,2019-03-20 19:20,12.66,77.44,10.67,10.37,86.75,0.0,1,2019-03-20 19:00:00,1.99,True
57017,57017,2019-03-20 19:30,12.75,77.38,10.75,10.46,86.84,0.0,1,2019-03-20 19:00:00,2.0,True
57018,57018,2019-03-20 19:40,12.63,77.81,10.71,10.4,86.87,0.0,1,2019-03-20 19:00:00,1.92,True
57019,57019,2019-03-20 19:50,12.69,77.81,10.63,10.24,87.06,0.0,1,2019-03-20 19:00:00,2.0599999999999987,True
57020,57020,2019-03-20 20:00,12.81,77.38,10.75,10.37,87.48,0.0,1,2019-03-20 20:00:00,2.0600000000000005,True
57021,57021,2019-03-20 20:10,12.78,77.72,10.67,10.27,87.36,0.0,1,2019-03-20 20:00:00,2.1099999999999994,True
57022,57022,2019-03-20 20:20,12.72,77.96,10.71,10.37,87.73,0.0,1,2019-03-20 20:00:00,2.01,True
57023,57023,2019-03-20 20:30,12.75,78.39,10.67,10.21,87.91,0.0,1,2019-03-20 20:00:00,2.08,True
57024,57024,2019-03-20 20:40,12.53,78.94,10.63,10.34,88.49,0.0,1,2019-03-20 20:00:00,1.8999999999999984,True
57025,57025,2019-03-20 20:50,12.56,79.27,10.67,10.43,88.55,0.0,1,2019-03-20 20:00:00,1.8900000000000008,True
57026,57026,2019-03-20 21:00,12.69,78.57,10.75,10.27,88.46,0.0,1,2019-03-20 21:00:00,1.9399999999999995,True
57027,57027,2019-03-20 21:10,12.72,79.06,10.63,10.12,88.16,0.0,1,2019-03-20 21:00:00,2.09,True
57028,57028,2019-03-20 21:20,12.53,79.3,10.63,9.97,88.49,0.0,1,2019-03-20 21:00:00,1.8999999999999984,True
57029,57029,2019-03-20 21:30,12.53,79.06,10.71,10.0,88.95,0.0,1,2019-03-20 21:00:00,1.8199999999999985,True
57030,57030,2019-03-20 21:40,12.5,79.4,10.75,10.0,88.95,0.0,1,2019-03-20 21:00:00,1.75,True
57031,57031,2019-03-20 21:50,12.56,79.64,10.63,9.97,89.16,0.0,1,2019-03-20 21:00:00,1.93,True
57032,57032,2019-03-20 22:00,12.59,79.46,10.67,9.91,89.38,0.0,1,2019-03-20 22:00:00,1.92,True
57033,57033,2019-03-20 22:10,12.47,79.52,10.63,9.94,89.77,0.0,1,2019-03-20 22:00:00,1.84,True
57034,57034,2019-03-20 22:20,12.59,79.43,10.71,9.82,89.96,0.0,1,2019-03-20 22:00:00,1.879999999999999,True
57035,57035,2019-03-20 22:30,12.53,79.55,10.63,9.79,90.23,0.0,1,2019-03-20 22:00:00,1.8999999999999984,True
57036,57036,2019-03-20 22:40,12.5,79.18,10.63,9.79,90.48,0.0,1,2019-03-20 22:00:00,1.8699999999999992,True
57037,57037,2019-03-20 22:50,12.56,79.58,10.67,9.88,90.75,0.0,1,2019-03-20 22:00:00,1.8900000000000008,True
57038,57038,2019-03-20 23:00,12.44,80.01,10.63,9.79,90.66,0.0,1,2019-03-20 23:00:00,1.8099999999999987,True
57039,57039,2019-03-20 23:10,12.47,79.85,10.63,9.76,91.06,0.0,1,2019-03-20 23:00:00,1.84,True
57040,57040,2019-03-20 23:20,12.53,79.0,10.82,9.79,91.27,0.0,1,2019-03-20 23:00:00,1.709999999999999,True
57041,57041,2019-03-20 23:30,12.66,78.94,10.67,9.79,91.64,0.0,1,2019-03-20 23:00:00,1.99,True
57042,57042,2019-03-20 23:40,12.56,79.0,10.63,9.76,91.7,0.0,1,2019-03-20 23:00:00,1.93,True
57043,57043,2019-03-20 23:50,12.53,79.21,10.67,9.85,91.88,0.0,1,2019-03-20 23:00:00,1.8599999999999997,True
57044,57044,2019-03-21 0:00,12.59,79.09,10.75,9.85,91.97,0.0,1,2019-03-21 00:00:00,1.84,True
57045,57045,2019-03-21 0:10,12.59,79.95,10.71,9.97,92.43,0.0,1,2019-03-21 00:00:00,1.879999999999999,True
57046,57046,2019-03-21 0:20,12.5,80.31,10.71,9.88,92.46,0.0,1,2019-03-21 00:00:00,1.7899999999999991,True
57047,57047,2019-03-21 0:30,12.53,80.59,10.71,9.85,92.55,0.0,1,2019-03-21 00:00:00,1.8199999999999985,True
57048,57048,2019-03-21 0:40,12.84,78.66,10.79,10.0,92.83,0.0,1,2019-03-21 00:00:00,2.0500000000000007,True
57049,57049,2019-03-21 0:50,13.08,77.93,10.79,11.25,94.84,0.0,1,2019-03-21 00:00:00,2.290000000000001,True
57050,57050,2019-03-21 1:00,13.3,77.87,10.9,11.25,94.54,0.0,1,2019-03-21 01:00:00,2.4000000000000004,True
57051,57051,2019-03-21 1:10,13.39,78.48,10.9,11.22,94.26,0.0,1,2019-03-21 01:00:00,2.49,True
57052,57052,2019-03-21 1:20,13.42,78.63,10.98,11.16,94.11,0.0,1,2019-03-21 01:00:00,2.4399999999999995,True
57053,57053,2019-03-21 1:30,13.48,78.85,11.05,11.01,93.96,0.0,1,2019-03-21 01:00:00,2.43,True
57054,57054,2019-03-21 1:40,13.51,78.63,10.9,10.89,93.99,0.0,1,2019-03-21 01:00:00,2.6099999999999994,True
57055,57055,2019-03-21 1:50,13.54,78.75,10.9,10.82,93.93,0.0,1,2019-03-21 01:00:00,2.6399999999999992,True
57056,57056,2019-03-21 2:00,13.54,78.88,11.01,10.67,93.8,0.0,1,2019-03-21 02:00:00,2.53,True
57057,57057,2019-03-21 2:10,13.54,78.72,11.01,10.52,93.86,0.0,1,2019-03-21 02:00:00,2.53,True
57058,57058,2019-03-21 2:20,13.54,78.63,11.01,10.4,93.96,0.0,1,2019-03-21 02:00:00,2.53,True
57059,57059,2019-03-21 2:30,13.54,78.51,11.01,10.31,93.99,0.0,1,2019-03-21 02:00:00,2.53,True
57060,57060,2019-03-21 2:40,13.45,78.51,10.94,10.12,93.74,0.0,1,2019-03-21 02:00:00,2.51,True
57061,57061,2019-03-21 2:50,13.45,78.24,10.98,9.85,93.56,0.0,1,2019-03-21 02:00:00,2.4699999999999993,True
57062,57062,2019-03-21 3:00,13.36,77.96,11.05,9.57,93.32,0.0,1,2019-03-21 03:00:00,2.3099999999999987,True
57063,57063,2019-03-21 3:10,13.3,77.41,11.05,9.36,93.19,0.0,1,2019-03-21 03:00:00,2.25,True
57064,57064,2019-03-21 3:20,13.27,76.86,11.01,9.15,93.25,0.0,1,2019-03-21 03:00:00,2.26,True
57065,57065,2019-03-21 3:30,13.27,76.19,11.09,9.11,93.41,0.0,1,2019-03-21 03:00:00,2.18,True
57066,57066,2019-03-21 3:40,13.21,75.73,11.09,8.99,93.44,0.0,1,2019-03-21 03:00:00,2.120000000000001,True
57067,57067,2019-03-21 3:50,13.17,75.24,10.94,8.99,93.38,0.0,1,2019-03-21 03:00:00,2.2300000000000004,True
58669,58669,2016-04-06 6:00,13.0,78.0,11.0,6.0,51.0,0.0,2,2016-04-06 06:00:00,2.0,True
58670,58670,2016-04-06 9:00,13.0,81.0,11.0,11.0,45.0,0.0,2,2016-04-06 09:00:00,2.0,True
58685,58685,2016-04-08 6:00,12.0,74.0,9.0,9.0,79.0,0.0,2,2016-04-08 06:00:00,3.0,True
58686,58686,2016-04-08 9:00,13.0,80.0,10.0,9.0,75.0,1.0,2,2016-04-08 09:00:00,3.0,True
58687,58687,2016-04-08 12:00,14.0,77.0,11.0,12.0,63.0,0.0,2,2016-04-08 12:00:00,3.0,True
58693,58693,2016-04-09 6:00,14.0,74.0,11.0,9.0,85.0,0.0,2,2016-04-09 06:00:00,3.0,True
58694,58694,2016-04-09 9:00,13.0,79.0,9.0,11.0,75.0,1.0,2,2016-04-09 09:00:00,4.0,True
58695,58695,2016-04-09 12:00,14.0,73.0,11.0,12.0,72.0,0.0,2,2016-04-09 12:00:00,3.0,True
58718,58718,2016-04-12 9:00,15.0,82.0,13.0,15.0,47.0,0.0,2,2016-04-12 09:00:00,2.0,True
58719,58719,2016-04-12 12:00,16.0,84.0,14.0,16.0,42.0,1.0,2,2016-04-12 12:00:00,2.0,True
58747,58747,2016-04-16 0:00,16.0,85.0,13.0,11.0,68.0,1.0,2,2016-04-16 00:00:00,3.0,True
58748,58748,2016-04-16 3:00,15.0,76.0,12.0,11.0,68.0,0.0,2,2016-04-16 03:00:00,3.0,True
58783,58783,2016-04-20 12:00,15.0,82.0,14.0,18.0,39.0,0.0,2,2016-04-20 12:00:00,1.0,True
58869,58869,2016-05-01 6:00,20.0,85.0,20.0,15.0,43.0,0.0,2,2016-05-01 06:00:00,0.0,True
58885,58885,2016-05-03 6:00,20.0,85.0,20.0,19.0,84.0,0.0,2,2016-05-03 06:00:00,0.0,True
58985,58985,2016-05-15 18:00,23.0,79.0,21.0,21.0,81.0,0.0,2,2016-05-15 18:00:00,2.0,True
59166,59166,2016-06-07 9:00,29.0,68.0,23.0,24.0,58.0,1.0,2,2016-06-07 09:00:00,6.0,True
59384,59384,2016-07-04 15:00,25.2,84.0,24.6,23.86,88.19,0.0,2,2016-07-04 15:00:00,0.5999999999999979,True
59385,59385,2016-07-04 18:00,25.45,82.91,24.64,23.46,88.37,0.0,2,2016-07-04 18:00:00,0.8099999999999987,True
59386,59386,2016-07-04 21:00,25.11,83.85,24.64,23.28,88.34,0.0,2,2016-07-04 21:00:00,0.4699999999999989,True
59387,59387,2016-07-05 0:00,24.9,84.28,24.45,22.91,89.74,0.0,2,2016-07-05 00:00:00,0.4499999999999993,True
59388,59388,2016-07-05 3:00,24.9,83.76,24.48,23.4,89.1,0.0,2,2016-07-05 03:00:00,0.41999999999999815,True
59389,59389,2016-07-05 6:00,25.69,86.75,24.6,25.11,86.97,0.0,2,2016-07-05 06:00:00,1.09,True
59390,59390,2016-07-05 9:00,26.64,83.18,24.98,26.48,80.8,0.0,2,2016-07-05 09:00:00,1.66,True
59391,59391,2016-07-05 12:00,26.73,84.83,25.17,26.09,84.89,0.0,2,2016-07-05 12:00:00,1.5599999999999987,True
59392,59392,2016-07-05 15:00,27.12,84.25,25.29,26.91,83.79,0.0,2,2016-07-05 15:00:00,1.8300000000000016,True
59393,59393,2016-07-05 18:00,27.19,82.66,25.4,25.14,86.23,0.0,2,2016-07-05 18:00:00,1.7900000000000027,True
60058,60058,2016-09-27 12:00,23.4,82.57,23.03,21.94,86.66,0.0,2,2016-09-27 12:00:00,0.36999999999999744,True
60102,60102,2016-10-03 0:00,22.94,84.07,21.66,22.24,87.24,0.0,2,2016-10-03 00:00:00,1.2800000000000011,True
60103,60103,2016-10-03 3:00,24.1,85.96,21.97,24.19,82.51,1.0,2,2016-10-03 03:00:00,2.1300000000000026,True
60104,60104,2016-10-03 6:00,24.13,83.55,22.12,22.52,85.41,1.0,2,2016-10-03 06:00:00,2.009999999999998,True
60105,60105,2016-10-03 9:00,24.22,79.49,22.27,22.67,80.77,0.0,2,2016-10-03 09:00:00,1.9499999999999995,True
60280,60280,2016-10-25 12:00,19.86,77.01,17.88,19.43,69.11,0.0,2,2016-10-25 12:00:00,1.9800000000000004,True
60341,60341,2016-11-05 12:00,16.99,73.26,13.72,19.04,62.79,0.0,2,2016-11-05 12:00:00,3.2699999999999982,True
60343,60343,2016-11-05 18:00,18.3,70.27,14.6,16.38,75.15,0.0,2,2016-11-05 18:00:00,3.700000000000001,True
60344,60344,2016-11-05 21:00,16.93,75.55,14.6,13.88,86.6,0.0,2,2016-11-05 21:00:00,2.33,True
60345,60345,2016-11-06 0:00,16.26,77.69,14.53,12.99,89.19,0.0,2,2016-11-06 00:00:00,1.7300000000000022,True
60412,60412,2016-11-14 18:00,18.06,75.98,15.63,15.74,83.85,0.0,2,2016-11-14 18:00:00,2.429999999999998,True
60449,60449,2016-11-19 9:00,13.57,78.97,11.78,11.07,88.0,0.0,2,2016-11-19 09:00:00,1.790000000000001,True
60450,60450,2016-11-19 12:00,14.55,80.98,12.35,13.75,81.65,0.0,2,2016-11-19 12:00:00,2.200000000000001,True
60451,60451,2016-11-19 15:00,15.16,81.81,12.66,13.72,83.85,1.0,2,2016-11-19 15:00:00,2.5,True
60452,60452,2016-11-19 18:00,15.65,81.72,12.92,14.55,82.33,1.0,2,2016-11-19 18:00:00,2.7300000000000004,True
60453,60453,2016-11-19 21:00,15.65,82.91,13.19,14.61,84.98,1.0,2,2016-11-19 21:00:00,2.460000000000001,True
60454,60454,2016-11-20 0:00,15.74,80.1,13.46,14.3,79.12,0.0,2,2016-11-20 00:00:00,2.28,True
60576,60576,2016-12-05 6:00,9.45,77.87,7.85,7.71,86.39,0.0,2,2016-12-05 06:00:00,1.5999999999999996,True
60577,60577,2016-12-05 9:00,10.76,81.29,8.04,11.37,74.76,1.0,2,2016-12-05 09:00:00,2.7200000000000006,True
60578,60578,2016-12-05 12:00,12.2,70.91,8.53,12.38,63.1,0.0,2,2016-12-05 12:00:00,3.67,True
60691,60691,2016-12-19 15:00,11.68,72.56,7.62,12.38,67.61,1.0,2,2016-12-19 15:00:00,4.06,True
60692,60692,2016-12-19 18:00,11.98,72.53,8.04,10.37,74.36,1.0,2,2016-12-19 18:00:00,3.940000000000001,True
60693,60693,2016-12-19 21:00,11.1,75.37,8.42,7.01,85.38,0.0,2,2016-12-19 21:00:00,2.68,True
60708,60708,2016-12-21 18:00,11.77,78.51,9.3,9.94,87.21,0.0,2,2016-12-21 18:00:00,2.4699999999999993,True
60709,60709,2016-12-21 21:00,11.86,84.34,9.45,10.4,90.45,1.0,2,2016-12-21 21:00:00,2.41,True
60710,60710,2016-12-22 0:00,12.38,86.9,9.72,11.53,92.64,1.0,2,2016-12-22 00:00:00,2.66,True
60711,60711,2016-12-22 3:00,13.82,90.38,10.67,12.99,90.35,1.0,2,2016-12-22 03:00:00,3.1500000000000004,True
60712,60712,2016-12-22 6:00,12.5,83.82,10.4,8.57,88.34,1.0,2,2016-12-22 06:00:00,2.1,True
60884,60884,2017-01-01 12:00,7.07,71.98,3.92,8.44,62.06,0.0,2,2017-01-01 12:00:00,3.1500000000000004,True
60885,60885,2017-01-01 13:00,7.83,70.82,4.11,9.05,62.3,0.0,2,2017-01-01 13:00:00,3.72,True
60907,60907,2017-01-02 11:00,8.53,75.06,5.37,13.27,51.89,0.0,2,2017-01-02 11:00:00,3.1599999999999997,True
60908,60908,2017-01-02 12:00,9.15,75.64,5.41,9.6,68.44,1.0,2,2017-01-02 12:00:00,3.74,True
60909,60909,2017-01-02 13:00,9.6,73.29,5.63,9.21,68.28,1.0,2,2017-01-02 13:00:00,3.97,True
60910,60910,2017-01-02 14:00,10.27,68.07,5.79,9.51,61.51,0.0,2,2017-01-02 14:00:00,4.48,True
60911,60911,2017-01-02 15:00,10.27,66.58,5.67,9.33,64.35,0.0,2,2017-01-02 15:00:00,4.6,True
60913,60913,2017-01-02 17:00,10.43,66.45,5.86,8.38,71.28,0.0,2,2017-01-02 17:00:00,4.5699999999999985,True
60914,60914,2017-01-02 18:00,10.24,66.76,5.86,8.05,71.7,0.0,2,2017-01-02 18:00:00,4.38,True
61491,61491,2017-01-26 20:00,4.44,67.83,0.25,2.4,74.66,0.0,2,2017-01-26 20:00:00,4.19,True
61492,61492,2017-01-26 21:00,4.57,69.47,0.22,3.62,73.02,1.0,2,2017-01-26 21:00:00,4.3500000000000005,True
61493,61493,2017-01-26 22:00,4.84,70.91,0.37,3.28,76.59,1.0,2,2017-01-26 22:00:00,4.47,True
61494,61494,2017-01-26 23:00,4.93,72.77,0.45,4.63,76.62,1.0,2,2017-01-26 23:00:00,4.48,True
61495,61495,2017-01-27 0:00,5.45,74.02,0.87,4.51,75.52,1.0,2,2017-01-27 00:00:00,4.58,True
61496,61496,2017-01-27 1:00,5.63,76.62,0.98,4.54,83.12,1.0,2,2017-01-27 01:00:00,4.65,True
61497,61497,2017-01-27 2:00,6.06,79.46,1.36,4.96,82.3,1.0,2,2017-01-27 02:00:00,4.699999999999998,True
61498,61498,2017-01-27 3:00,6.06,76.89,1.51,3.28,72.77,1.0,2,2017-01-27 03:00:00,4.55,True
61920,61920,2017-02-13 23:00,5.05,74.45,2.66,2.0,87.06,0.0,2,2017-02-13 23:00:00,2.39,True
61921,61921,2017-02-14 0:00,4.87,74.97,2.58,1.97,87.48,0.0,2,2017-02-14 00:00:00,2.29,True
61985,61985,2017-02-16 16:00,10.64,65.29,5.9,11.59,60.23,0.0,2,2017-02-16 16:00:00,4.74,True
61986,61986,2017-02-16 17:00,11.04,65.96,6.25,11.56,63.43,0.0,2,2017-02-16 17:00:00,4.789999999999999,True
61987,61987,2017-02-16 18:00,10.76,68.93,6.32,12.2,68.25,0.0,2,2017-02-16 18:00:00,4.44,True
61988,61988,2017-02-16 19:00,11.07,74.3,6.59,11.98,72.22,1.0,2,2017-02-16 19:00:00,4.48,True
61989,61989,2017-02-16 20:00,11.71,76.77,6.82,11.59,75.4,1.0,2,2017-02-16 20:00:00,4.8900000000000015,True
61990,61990,2017-02-16 21:00,11.22,78.08,7.16,11.16,78.72,1.0,2,2017-02-16 21:00:00,4.0600000000000005,True
61991,61991,2017-02-16 22:00,11.25,81.17,7.2,10.55,84.49,1.0,2,2017-02-16 22:00:00,4.05,True
61992,61992,2017-02-16 23:00,11.37,81.87,7.43,10.24,85.62,1.0,2,2017-02-16 23:00:00,3.94,True
61993,61993,2017-02-17 0:00,11.28,82.23,7.54,10.0,86.63,1.0,2,2017-02-17 00:00:00,3.7399999999999993,True
61994,61994,2017-02-17 1:00,11.22,83.42,7.66,9.63,86.75,1.0,2,2017-02-17 01:00:00,3.5600000000000005,True
61995,61995,2017-02-17 2:00,11.07,82.11,7.7,8.87,86.6,1.0,2,2017-02-17 02:00:00,3.37,True
61996,61996,2017-02-17 3:00,10.92,80.65,7.62,8.11,86.36,1.0,2,2017-02-17 03:00:00,3.3,True
61997,61997,2017-02-17 4:00,10.31,78.42,7.62,5.82,85.65,1.0,2,2017-02-17 04:00:00,2.6900000000000004,True
62061,62061,2017-02-19 20:00,7.83,72.16,4.76,5.09,84.1,0.0,2,2017-02-19 20:00:00,3.0700000000000003,True
62062,62062,2017-02-19 21:00,7.83,74.48,5.06,5.79,85.13,0.0,2,2017-02-19 21:00:00,2.7700000000000005,True
62063,62063,2017-02-19 22:00,8.08,76.28,5.33,6.15,84.28,0.0,2,2017-02-19 22:00:00,2.75,True
62064,62064,2017-02-19 23:00,8.08,78.51,5.41,5.91,88.19,1.0,2,2017-02-19 23:00:00,2.67,True
62065,62065,2017-02-20 0:00,8.5,82.2,5.63,7.25,89.9,1.0,2,2017-02-20 00:00:00,2.87,True
62066,62066,2017-02-20 1:00,8.84,84.1,5.6,7.77,90.75,1.0,2,2017-02-20 01:00:00,3.24,True
62067,62067,2017-02-20 2:00,9.18,84.25,5.86,7.47,87.3,1.0,2,2017-02-20 02:00:00,3.3199999999999994,True
62068,62068,2017-02-20 3:00,8.9,82.54,5.71,5.94,85.65,1.0,2,2017-02-20 03:00:00,3.1900000000000004,True
62069,62069,2017-02-20 4:00,8.35,78.63,5.83,4.75,81.9,0.0,2,2017-02-20 04:00:00,2.52,True
62127,62127,2017-02-22 14:00,5.45,78.79,4.03,2.89,88.74,0.0,2,2017-02-22 14:00:00,1.42,True
62128,62128,2017-02-22 15:00,5.67,79.43,3.96,3.04,90.17,0.0,2,2017-02-22 15:00:00,1.71,True
62129,62129,2017-02-22 16:00,5.82,79.91,4.18,3.04,91.12,0.0,2,2017-02-22 16:00:00,1.6400000000000006,True
62130,62130,2017-02-22 17:00,5.76,79.58,4.15,2.46,90.75,0.0,2,2017-02-22 17:00:00,1.6099999999999994,True
62131,62131,2017-02-22 18:00,5.7,79.49,4.03,2.58,91.3,0.0,2,2017-02-22 18:00:00,1.67,True
62132,62132,2017-02-22 19:00,5.97,79.09,4.07,2.8,92.09,0.0,2,2017-02-22 19:00:00,1.8999999999999997,True
62133,62133,2017-02-22 20:00,5.94,77.63,4.11,2.55,89.99,0.0,2,2017-02-22 20:00:00,1.83,True
63060,63060,2017-04-05 18:00,13.91,80.56,12.58,11.95,88.95,0.0,2,2017-04-05 18:00:00,1.33,True
63061,63061,2017-04-05 19:00,14.06,81.59,12.58,12.11,91.12,0.0,2,2017-04-05 19:00:00,1.4800000000000004,True
63062,63062,2017-04-05 20:00,13.91,84.04,12.58,12.08,92.25,0.0,2,2017-04-05 20:00:00,1.33,True
63063,63063,2017-04-05 21:00,13.97,84.92,12.66,12.44,92.77,0.0,2,2017-04-05 21:00:00,1.3100000000000005,True
63064,63064,2017-04-05 22:00,14.49,86.51,12.66,13.94,90.23,1.0,2,2017-04-05 22:00:00,1.83,True
63065,63065,2017-04-05 23:00,14.64,86.63,12.69,13.66,89.07,1.0,2,2017-04-05 23:00:00,1.9500000000000008,True
63066,63066,2017-04-06 0:00,15.04,83.58,12.81,12.9,88.83,1.0,2,2017-04-06 00:00:00,2.229999999999998,True
63067,63067,2017-04-06 1:00,15.16,81.17,12.92,12.08,90.69,1.0,2,2017-04-06 01:00:00,2.24,True
63068,63068,2017-04-06 2:00,14.85,80.31,12.88,11.43,92.06,0.0,2,2017-04-06 02:00:00,1.9699999999999989,True
63069,63069,2017-04-06 3:00,14.67,79.4,12.88,11.13,93.07,0.0,2,2017-04-06 03:00:00,1.7899999999999991,True
63070,63070,2017-04-06 4:00,14.49,78.14,12.92,10.61,92.64,0.0,2,2017-04-06 04:00:00,1.5700000000000005,True
65064,65064,2017-07-02 9:00,26.67,82.6,26.16,26.0,83.64,0.0,2,2017-07-02 09:00:00,0.5100000000000016,True
65065,65065,2017-07-02 10:00,26.97,82.17,26.09,26.48,82.81,0.0,2,2017-07-02 10:00:00,0.879999999999999,True
65066,65066,2017-07-02 11:00,27.55,80.59,26.16,27.22,76.53,0.0,2,2017-07-02 11:00:00,1.3900000000000006,True
65067,65067,2017-07-02 12:00,27.86,78.08,26.35,27.31,76.5,0.0,2,2017-07-02 12:00:00,1.509999999999998,True
66312,66312,2017-08-23 9:00,28.5,81.11,27.69,30.15,77.93,0.0,2,2017-08-23 09:00:00,0.8099999999999987,True
66313,66313,2017-08-23 10:00,29.41,81.5,27.96,31.37,70.02,0.0,2,2017-08-23 10:00:00,1.4499999999999993,True
66314,66314,2017-08-23 11:00,30.12,79.27,28.11,32.92,65.11,0.0,2,2017-08-23 11:00:00,2.0100000000000016,True
66315,66315,2017-08-23 12:00,30.39,77.5,28.07,32.01,68.77,0.0,2,2017-08-23 12:00:00,2.3200000000000003,True
66316,66316,2017-08-23 13:00,30.85,75.73,28.26,32.77,63.95,0.0,2,2017-08-23 13:00:00,2.59,True
67068,67068,2017-09-24 11:00,23.43,78.3,21.78,23.22,78.75,0.0,2,2017-09-24 11:00:00,1.6499999999999986,True
67069,67069,2017-09-24 12:00,23.55,79.27,21.85,23.98,76.47,0.0,2,2017-09-24 12:00:00,1.6999999999999993,True
67070,67070,2017-09-24 13:00,23.86,78.42,21.93,24.5,72.8,0.0,2,2017-09-24 13:00:00,1.93,True
67071,67071,2017-09-24 14:00,24.38,76.77,22.0,24.93,74.05,0.0,2,2017-09-24 14:00:00,2.379999999999999,True
67072,67072,2017-09-24 15:00,24.68,77.41,22.08,24.99,76.65,0.0,2,2017-09-24 15:00:00,2.6000000000000014,True
67073,67073,2017-09-24 16:00,25.02,76.25,22.16,26.61,64.71,0.0,2,2017-09-24 16:00:00,2.8599999999999994,True
67074,67074,2017-09-24 17:00,25.23,74.6,22.27,24.99,71.64,0.0,2,2017-09-24 17:00:00,2.9600000000000013,True
67075,67075,2017-09-24 18:00,24.87,76.95,22.27,23.43,79.3,0.0,2,2017-09-24 18:00:00,2.6000000000000014,True
67076,67076,2017-09-24 19:00,24.56,77.78,22.19,23.13,79.98,0.0,2,2017-09-24 19:00:00,2.369999999999997,True
67077,67077,2017-09-24 20:00,24.29,78.97,22.12,22.39,85.68,0.0,2,2017-09-24 20:00:00,2.1699999999999977,True
67078,67078,2017-09-24 21:00,24.01,80.04,22.23,22.0,86.39,0.0,2,2017-09-24 21:00:00,1.7800000000000011,True
67079,67079,2017-09-24 22:00,23.95,80.74,22.23,22.52,86.14,0.0,2,2017-09-24 22:00:00,1.7199999999999989,True
